feature,mean_abs_shap,fold
coherence__HighBeta__mean,0.40250852704048157,0
coherence__HighBeta__std,0.0,0
coherence__Beta2__mean,0.7591018080711365,0
coherence__Beta2__std,0.0,0
phaselag__HighBeta__mean,0.7778270840644836,0
phaselag__HighBeta__std,0.0,0
phaselag__Delta__mean,1.1198898553848267,0
phaselag__Delta__std,0.0,0
power_uv1__Theta__mean,1.2277519702911377,0
power_uv1__Theta__std,0.0,0
power_uv1__Beta3__mean,0.567192792892456,0
power_uv1__Beta3__std,0.0,0
clinical__pain_t1,1.2777446508407593,0
clinical__age,0.45784273743629456,0
clinical__neurop_months,0.6541940569877625,0
coherence__Delta__mean,0.0,1
coherence__Delta__std,0.0,1
coherence__Beta1__mean,0.0,1
coherence__Beta1__std,0.0,1
phaselag__HighBeta__mean,0.0,1
phaselag__HighBeta__std,0.0,1
phaselag__Theta__mean,0.0,1
phaselag__Theta__std,0.0,1
power_uv1__Theta__mean,0.0,1
power_uv1__Theta__std,0.0,1
power_uv1__Alpha__mean,0.0,1
power_uv1__Alpha__std,0.0,1
clinical__pain_t1,0.3376098256973566,1
clinical__age,0.0,1
clinical__neurop_months,0.0,1
coherence__Beta__mean,0.00043089748942293227,2
coherence__Beta__std,0.0,2
coherence__Beta1__mean,0.020769663155078888,2
coherence__Beta1__std,0.0,2
phaselag__HighBeta__mean,0.0075002796947956085,2
phaselag__HighBeta__std,0.0,2
phaselag__Delta__mean,0.025560680776834488,2
phaselag__Delta__std,0.0,2
power_uv1__Beta__mean,0.02959766797721386,2
power_uv1__Beta__std,0.0,2
power_uv1__Alpha2__mean,0.007033919915556908,2
power_uv1__Alpha2__std,0.0,2
clinical__pain_t1,0.11436735093593597,2
clinical__age,0.0005233242991380394,2
clinical__neurop_months,0.009624158032238483,2
coherence__Beta__mean,0.0,3
coherence__Beta__std,0.0,3
coherence__Beta1__mean,0.0,3
coherence__Beta1__std,0.0,3
phaselag__HighBeta__mean,0.1517060353158833,3
phaselag__HighBeta__std,0.0,3
phaselag__Beta3__mean,0.0,3
phaselag__Beta3__std,0.0,3
power_uv1__Beta__mean,0.0,3
power_uv1__Beta__std,0.0,3
power_uv1__Alpha2__mean,0.0,3
power_uv1__Alpha2__std,0.0,3
clinical__pain_t1,0.31905885728562244,3
clinical__age,0.0,3
clinical__neurop_months,0.0,3
coherence__Beta3__mean,0.7434161305427551,4
coherence__Beta3__std,0.0,4
coherence__Alpha2__mean,0.3542957305908203,4
coherence__Alpha2__std,0.0,4
phaselag__Beta3__mean,0.9441019892692566,4
phaselag__Beta3__std,0.0,4
phaselag__Beta2__mean,0.5243018269538879,4
phaselag__Beta2__std,0.0,4
power_uv1__Theta__mean,0.4800417721271515,4
power_uv1__Theta__std,0.0,4
power_uv1__Beta2__mean,0.3740817904472351,4
power_uv1__Beta2__std,0.0,4
clinical__pain_t1,1.5609855651855469,4
clinical__age,0.5968326926231384,4
clinical__neurop_months,0.45360463857650757,4
