feature,mean_abs_shap,fold
coherence__HighBeta__mean,0.40250852704048157,0
coherence__HighBeta__std,0.0,0
coherence__Beta2__mean,0.7591018080711365,0
coherence__Beta2__std,0.0,0
phaselag__HighBeta__mean,0.7778270840644836,0
phaselag__HighBeta__std,0.0,0
phaselag__Delta__mean,1.1198898553848267,0
phaselag__Delta__std,0.0,0
power_uv1__Theta__mean,1.2277519702911377,0
power_uv1__Theta__std,0.0,0
power_uv1__Beta3__mean,0.567192792892456,0
power_uv1__Beta3__std,0.0,0
clinical__pain_t1,1.2777446508407593,0
clinical__age,0.45784273743629456,0
clinical__neurop_months,0.6541940569877625,0
clinical__mod_NFB,0.0,0
clinical__mod_DL,0.0,0
clinical__mod_NFB_DL,0.0,0
coherence__Delta__mean,0.0,1
coherence__Delta__std,0.0,1
coherence__Beta1__mean,0.0,1
coherence__Beta1__std,0.0,1
phaselag__HighBeta__mean,0.0,1
phaselag__HighBeta__std,0.0,1
phaselag__Theta__mean,0.0,1
phaselag__Theta__std,0.0,1
power_uv1__Theta__mean,0.0,1
power_uv1__Theta__std,0.0,1
power_uv1__Alpha__mean,0.0,1
power_uv1__Alpha__std,0.0,1
clinical__pain_t1,0.3376098256973566,1
clinical__age,0.0,1
clinical__neurop_months,0.0,1
clinical__mod_NFB,0.0,1
clinical__mod_DL,0.0,1
clinical__mod_NFB_DL,0.0,1
coherence__Beta__mean,0.0,2
coherence__Beta__std,0.0,2
coherence__Beta1__mean,0.0,2
coherence__Beta1__std,0.0,2
phaselag__HighBeta__mean,0.0,2
phaselag__HighBeta__std,0.0,2
phaselag__Delta__mean,0.0,2
phaselag__Delta__std,0.0,2
power_uv1__Beta__mean,0.0,2
power_uv1__Beta__std,0.0,2
power_uv1__Alpha2__mean,0.0,2
power_uv1__Alpha2__std,0.0,2
clinical__pain_t1,0.08707001772039318,2
clinical__age,0.012258402434020358,2
clinical__neurop_months,0.013992093449095097,2
clinical__mod_NFB,0.0,2
clinical__mod_DL,0.0,2
clinical__mod_NFB_DL,0.0,2
coherence__Beta__mean,0.0,3
coherence__Beta__std,0.0,3
coherence__Beta1__mean,0.0,3
coherence__Beta1__std,0.0,3
phaselag__HighBeta__mean,0.0,3
phaselag__HighBeta__std,0.0,3
phaselag__Beta3__mean,0.0,3
phaselag__Beta3__std,0.0,3
power_uv1__Beta__mean,0.0,3
power_uv1__Beta__std,0.0,3
power_uv1__Alpha2__mean,0.0,3
power_uv1__Alpha2__std,0.0,3
clinical__pain_t1,0.16204582452906996,3
clinical__age,0.04218765049472097,3
clinical__neurop_months,0.02830987356998356,3
clinical__mod_NFB,0.0,3
clinical__mod_DL,0.0,3
clinical__mod_NFB_DL,0.0,3
coherence__Beta3__mean,0.7933007478713989,4
coherence__Beta3__std,0.0,4
coherence__Alpha2__mean,0.3727406859397888,4
coherence__Alpha2__std,0.0,4
phaselag__Beta3__mean,0.9409520030021667,4
phaselag__Beta3__std,0.0,4
phaselag__Beta2__mean,0.7104285955429077,4
phaselag__Beta2__std,0.0,4
power_uv1__Theta__mean,0.4783150255680084,4
power_uv1__Theta__std,0.0,4
power_uv1__Beta2__mean,0.4597647190093994,4
power_uv1__Beta2__std,0.0,4
clinical__pain_t1,1.6510910987854004,4
clinical__age,0.5750642418861389,4
clinical__neurop_months,0.5295854806900024,4
clinical__mod_NFB,0.0,4
clinical__mod_DL,0.0,4
clinical__mod_NFB_DL,0.0,4
