feature,mean_abs_shap,n_test_obs
T1_pain,0.06947350195351716,107
PeakFreq_Hz__Gamma2__median,0.036561797974849396,44
PeakFreq_Hz__HighBeta__std,0.03412714319761065,43
PeakFreq_Hz__Beta3__p90,0.02911510029609652,43
group_DL,0.02806947172782544,107
group_NFB,0.026054951211015125,107
age,0.01683018212779391,107
FFT_PhaseLag_PLI__Alpha1__std,0.015819491855988656,21
FFT_rel_bandpower_pct__Delta__median,0.015563999188468148,22
FFT_Coherence__HighBeta__median,0.014271702665918855,107
PeakFreq_Hz__HighBeta__p90,0.013974306748943907,21
FFT_Coherence__HighBeta__p90,0.012531874906100459,85
FFT_Coherence__Beta3__median,0.012204234946106592,107
group_NFB_DL,0.011807093867923196,107
FFT_abs_bandpower_uV2__Beta3__std,0.011038321012876813,21
FFT_Coherence__HighBeta__mean,0.010078716618423012,85
sex_male,0.008730321725642054,107
neuropathy_months,0.008506234311070855,107
FFT_rel_bandpower_pct__Alpha__std,0.00744698089339038,21
FFT_Coherence__Beta3__mean,0.007282314602460718,64
FFT_Coherence__Beta__median,0.007093216533747176,107
FFT_rel_bandpower_pct__Alpha1__p90,0.006888254531139215,22
FFT_Coherence__Beta1__std,0.005897484802996422,22
FFT_Coherence__Beta__mean,0.002926982717191065,21
