fold,model,n_train,n_test,n_features,threshold,ba,auc,f1,sensitivity,specificity
1,SVM,85,22,15,0.4,0.6818181818181819,0.7024793388429752,0.6666666666666666,0.6363636363636364,0.7272727272727273
1,LogReg,85,22,15,0.49,0.5909090909090909,0.5991735537190083,0.5263157894736842,0.45454545454545453,0.7272727272727273
1,XGB,85,22,15,0.26,0.6363636363636364,0.7107438016528926,0.6363636363636364,0.6363636363636364,0.6363636363636364
1,ENS,85,22,15,0.47,0.6363636363636364,0.6859504132231405,0.5555555555555556,0.45454545454545453,0.8181818181818182
2,SVM,85,22,15,0.63,0.6818181818181819,0.6033057851239669,0.6666666666666666,0.6363636363636364,0.7272727272727273
2,LogReg,85,22,15,0.54,0.7272727272727273,0.7975206611570248,0.6666666666666666,0.5454545454545454,0.9090909090909091
2,XGB,85,22,15,0.17,0.6363636363636364,0.6859504132231404,0.7142857142857143,0.9090909090909091,0.36363636363636365
2,ENS,85,22,15,0.45000000000000007,0.5909090909090909,0.71900826446281,0.64,0.7272727272727273,0.45454545454545453
3,SVM,86,21,15,0.47,0.4590909090909091,0.6727272727272728,0.6206896551724138,0.8181818181818182,0.1
3,LogReg,86,21,15,0.48,0.4590909090909091,0.6454545454545455,0.6206896551724138,0.8181818181818182,0.1
3,XGB,86,21,15,0.24000000000000002,0.4590909090909091,0.4727272727272728,0.6206896551724138,0.8181818181818182,0.1
3,ENS,86,21,15,0.45000000000000007,0.4590909090909091,0.5636363636363637,0.6206896551724138,0.8181818181818182,0.1
4,SVM,86,21,15,0.49,0.6227272727272727,0.6818181818181818,0.6363636363636364,0.7,0.5454545454545454
4,LogReg,86,21,15,0.54,0.5590909090909091,0.6772727272727272,0.4,0.3,0.8181818181818182
4,XGB,86,21,15,0.22,0.6272727272727273,0.7181818181818183,0.6666666666666666,0.8,0.45454545454545453
4,ENS,86,21,15,0.44000000000000006,0.5727272727272728,0.7272727272727272,0.5714285714285714,0.6,0.5454545454545454
5,SVM,86,21,15,0.54,0.6318181818181818,0.6909090909090909,0.5,0.36363636363636365,0.9
5,LogReg,86,21,15,0.47,0.6590909090909092,0.6818181818181819,0.72,0.8181818181818182,0.5
5,XGB,86,21,15,0.4,0.6272727272727273,0.6545454545454545,0.5555555555555556,0.45454545454545453,0.8
5,ENS,86,21,15,0.49,0.5818181818181818,0.7090909090909091,0.47058823529411764,0.36363636363636365,0.8
